id,symboling,normalised-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight
14478,2,161,mitsubishi,gas,std,2,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918
11825,2,161,mitsubishi,gas,std,2,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944
24808,2,161,mitsubishi,gas,std,2,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004
38908,1,161,mitsubishi,gas,turbo,2,hatchback,fwd,front,93,157.3,63.8,50.8,2145
27651,3,153,mitsubishi,gas,turbo,2,hatchback,fwd,front,96.3,173,65.4,49.4,2370
14177,3,153,mitsubishi,gas,std,2,hatchback,fwd,front,96.3,173,65.4,49.4,2328
34541,1,125,mitsubishi,gas,std,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2365
16653,1,125,mitsubishi,gas,std,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2405
20978,1,125,mitsubishi,gas,turbo,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2403
15207,-1,137,mitsubishi,gas,std,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2403
38506,1,128,nissan,gas,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,1889
31008,1,128,nissan,diesel,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,2017
30941,1,128,nissan,gas,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,1918
12650,1,122,nissan,gas,std,4,sedan,fwd,front,94.5,165.3,63.8,54.5,1938
21168,1,103,nissan,gas,std,4,wagon,fwd,front,94.5,170.2,63.8,53.5,2024
33671,1,128,nissan,gas,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,1951
26198,1,128,nissan,gas,std,2,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028
19988,1,122,nissan,gas,std,4,sedan,fwd,front,94.5,165.3,63.8,54.5,1971
29228,1,103,nissan,gas,std,4,wagon,fwd,front,94.5,170.2,63.8,53.5,2037
17508,2,168,nissan,gas,std,2,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008
13491,0,106,nissan,gas,std,4,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324
18039,0,106,nissan,gas,std,4,sedan,fwd,front,97.2,173.4,65.2,54.7,2302
37164,0,128,nissan,gas,std,4,sedan,fwd,front,100.4,181.7,66.5,55.1,3095
34389,0,108,nissan,gas,std,4,wagon,fwd,front,100.4,184.6,66.5,56.1,3296
30406,0,108,nissan,gas,std,4,sedan,fwd,front,100.4,184.6,66.5,55.1,3060
27344,3,194,nissan,gas,std,2,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071
18521,3,194,nissan,gas,turbo,2,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139
38272,1,231,nissan,gas,std,2,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139
19044,0,161,peugot,gas,std,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3020
16584,0,161,peugot,diesel,turbo,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3197
39987,0,161,peugot,gas,std,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3075
35614,0,161,peugot,diesel,turbo,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3252
20204,0,161,peugot,gas,std,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3075
19818,0,161,peugot,diesel,turbo,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3252
33220,0,161,peugot,gas,turbo,4,sedan,rwd,front,108,186.7,68.3,56,3130
26850,1,119,plymouth,gas,std,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918
31362,1,119,plymouth,gas,turbo,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128
37305,1,154,plymouth,gas,std,4,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967
23795,1,154,plymouth,gas,std,4,sedan,fwd,front,93.7,167.3,63.8,50.8,1989
31283,1,154,plymouth,gas,std,4,sedan,fwd,front,93.7,167.3,63.8,50.8,2191
31492,-1,74,plymouth,gas,std,4,wagon,fwd,front,103.3,174.6,64.6,59.8,2535
13813,3,186,porsche,gas,std,2,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778
16816,3,150,saab,gas,std,2,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658
34374,2,104,saab,gas,std,4,sedan,fwd,front,99.1,186.6,66.5,56.1,2695
25009,3,150,saab,gas,std,2,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707
20274,2,104,saab,gas,std,4,sedan,fwd,front,99.1,186.6,66.5,56.1,2758
16258,3,150,saab,gas,turbo,2,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808
22065,2,104,saab,gas,turbo,4,sedan,fwd,front,99.1,186.6,66.5,56.1,2847
23596,2,83,subaru,gas,std,2,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050
33908,2,83,subaru,gas,std,2,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120
10215,2,83,subaru,gas,std,2,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240
