id,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
21178,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8845
25328,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8495
14325,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10595
22679,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10245
34856,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,11245
19701,ohc,four,140,Mpfi,3.76,3.16,8,120,5000,19,27,18280
17725,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,25552
32355,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,28248
38081,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,28176
24576,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,31600
15685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18,35056
14478,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,37,41,5389
11825,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6189
24808,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6669
38908,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7689
27651,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9959
14177,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8499
34541,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,6989
16653,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8189
20978,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279
15207,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279
38506,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,5499
31008,ohc,four,103,idi,2.99,3.47,21.9,55,4800,45,50,7099
30941,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6649
12650,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6849
21168,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7349
33671,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7299
26198,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7799
19988,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7499
29228,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7999
17508,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,8249
13491,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,8949
18039,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,9549
37164,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,17,22,13499
34389,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,17,22,14399
30406,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,19,25,13499
27344,ohcv,six,181,mpfi,3.43,3.27,9,160,5200,19,25,17199
18521,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200,17,23,19699
38272,ohcv,six,181,mpfi,3.43,3.27,9,160,5200,19,25,18399
19044,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,11900
16584,l,four,152,idi,3.7,3.52,21,95,4150,28,33,13200
39987,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,15580
35614,l,four,152,idi,3.7,3.52,21,95,4150,28,33,16900
20204,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,16630
19818,l,four,152,idi,3.7,3.52,21,95,4150,28,33,17950
33220,l,four,134,mpfi,3.61,3.21,7,142,5600,18,24,18150
26850,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,37,41,5572
31362,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7957
37305,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229
23795,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692
31283,ohc,four,98,2bbl,2.97,3.23,9.4,68,5500,31,38,7609
31492,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,24,30,8921
13813,ohc,four,151,mpfi,3.94,3.11,9.5,143,5500,19,27,22018
16816,ohc,four,121,mpfi,3.54,3.07,9.31,110,5250,21,28,11850
34374,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28,12170
25009,ohc,four,121,mpfi,2.54,2.07,9.3,110,5250,21,28,15040
20274,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28,15510
16258,dohc,four,121,mpfi,3.54,3.07,9,160,5500,19,26,18150
22065,dohc,four,121,mpfi,3.54,3.07,9,160,5500,19,26,18620
23596,ohcf,four,97,2bbl,3.62,2.36,9,69,4900,31,36,5118
33908,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7053
10215,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7603
